* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Jan 21 2024 23:56:37

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CB132

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, not used, , , , , , topBank
A2, PIO, not used, , , , , , topBank
A3, PIO, not used, , , , , , topBank
A4, PIO, led7, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A5, PIO, deldn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A6, PIO_GBIN, lcol3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A7, PIO_GBIN, led5, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A8, VCCIO_0, not used, , , , , , topBank
A9, GND, not used, , , , , , UnknownBank
A10, PIO, led2, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A11, PIO, delup, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A12, PIO, lcol1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A13, VPP_DIRECT, not used, , , , , , UnknownBank
A14, VPP_PUMP, not used, , , , , , UnknownBank
B1, PIO, not used, , , , , , leftBank
B14, PIO, not used, , , , , , rightBank
C1, PIO, not used, , , , , , leftBank
C3, PIO, not used, , , , , , leftBank
C4, PIO, led8, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C5, PIO, lcol4, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C6, PIO, consolereset, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C7, PIO, led6, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C8, AVDD_TOP, not used, , , , , , UnknownBank
C9, PIO, not used, , , , , , topBank
C10, PIO, led1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C11, PIO, masterreset, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C12, PIO, not used, , , , , , topBank
C14, PIO, not used, , , , , , rightBank
D1, PIO, not used, , , , , , leftBank
D3, PIO, not used, , , , , , leftBank
D4, PIO, not used, , , , , , leftBank
D5, PIO, not used, , , , , , topBank
D6, PIO, led4, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
D7, PIO, led3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
D8, AGND_TOP, not used, , , , , , UnknownBank
D9, PIO, not used, , , , , , topBank
D10, PIO, lcol2, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
D11, PIO, not used, , , , , , topBank
D12, PIO, not used, , , , , , rightBank
D14, PIO, not used, , , , , , rightBank
E1, PIO, not used, , , , , , leftBank
E3, VCCIO_3, not used, , , , , , leftBank
E4, PIO, not used, , , , , , leftBank
E11, PIO, not used, , , , , , rightBank
E12, PIO, not used, , , , , , rightBank
E14, PIO, not used, , , , , , rightBank
F1, GND, not used, , , , , , UnknownBank
F3, PIO, not used, , , , , , leftBank
F4, PIO, not used, , , , , , leftBank
F6, VCCIO_0, not used, , , , , , topBank
F7, GND, not used, , , , , , UnknownBank
F8, VCC, not used, , , , , , UnknownBank
F9, VCCIO_1, not used, , , , , , rightBank
F11, PIO, not used, , , , , , rightBank
F12, PIO, not used, , , , , , rightBank
F14, PIO_GBIN, not used, , , , , , rightBank
G1, PIO_GBIN, not used, , , , , , leftBank
G3, PIO, not used, , , , , , leftBank
G4, PIO, not used, , , , , , leftBank
G6, VCC, not used, , , , , , UnknownBank
G7, GND, not used, , , , , , UnknownBank
G8, GND, not used, , , , , , UnknownBank
G9, GND, not used, , , , , , UnknownBank
G11, PIO, not used, , , , , , rightBank
G12, PIO, not used, , , , , , rightBank
G14, PIO_GBIN, not used, , , , , , rightBank
H1, PIO_GBIN, not used, , , , , , leftBank
H3, PIO, not used, , , , , , leftBank
H4, PIO, not used, , , , , , leftBank
H6, GND, not used, , , , , , UnknownBank
H7, GND, not used, , , , , , UnknownBank
H8, GND, not used, , , , , , UnknownBank
H9, VCC, not used, , , , , , UnknownBank
H11, PIO, apuclk, InOut, , SB_LVCMOS, No Pull Up, Simple Input Output DDR with Enable, rightBank
H12, PIO, not used, , , , , , rightBank
H14, VCCIO_1, not used, , , , , , rightBank
J1, PIO, not used, , , , , , leftBank
J3, PIO, not used, , , , , , leftBank
J4, VCC, not used, , , , , , UnknownBank
J6, VCCIO_3, not used, , , , , , leftBank
J7, VCC, not used, , , , , , UnknownBank
J8, GND, not used, , , , , , UnknownBank
J9, VCCIO_2, not used, , , , , , bottomBank
J11, PIO, not used, , , , , , rightBank
J12, PIO, apureset, Output, , SB_LVCMOS, No Pull Up, Output Registered, rightBank
J14, GND, not used, , , , , , UnknownBank
K1, VCCIO_3, not used, , , , , , leftBank
K3, PIO, not used, , , , , , leftBank
K4, PIO, not used, , , , , , leftBank
K11, PIO, not used, , , , , , rightBank
K12, PIO, cpureset, Output, , SB_LVCMOS, No Pull Up, Output Registered, rightBank
K14, PIO, cpuclk, Output, , SB_LVCMOS, No Pull Up, Output DDR with Enable, rightBank
L1, PIO, not used, , , , , , leftBank
L3, GND, not used, , , , , , UnknownBank
L4, PIO, not used, , , , , , bottomBank
L5, PIO, not used, , , , , , bottomBank
L6, PIO, not used, , , , , , bottomBank
L7, AGND_BOT, not used, , , , , , UnknownBank
L8, PIO, not used, , , , , , bottomBank
L9, PIO, not used, , , , , , bottomBank
L10, CRESET_B, not used, , , , , , bottomBank
L11, VDDIO_SPI, not used, , , , , , bottomBank
L12, PIO, apusync, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
L14, PIO, not used, , , , , , rightBank
M1, PIO, not used, , , , , , leftBank
M3, PIO, not used, , , , , , bottomBank
M4, PIO, not used, , , , , , bottomBank
M5, VCCIO_2, not used, , , , , , bottomBank
M6, PIO, not used, , , , , , bottomBank
M7, PIO, not used, , , , , , bottomBank
M8, AVDD_BOT, not used, , , , , , UnknownBank
M9, PIO, not used, , , , , , bottomBank
M10, CDONE, not used, , , , , , bottomBank
M11, SPI_SO, not used, , , , , , bottomBank
M12, PIO, not used, , , , , , rightBank
M14, TRST_B, not used, , , , , , rightBank
N1, PIO, not used, , , , , , leftBank
N14, PIO, not used, , , , , , rightBank
P1, PIO, not used, , , , , , leftBank
P2, PIO, not used, , , , , , bottomBank
P3, PIO, not used, , , , , , bottomBank
P4, PIO, not used, , , , , , bottomBank
P5, PIO, not used, , , , , , bottomBank
P6, GND, not used, , , , , , UnknownBank
P7, PIO_GBIN, not used, , , , , , bottomBank
P8, PIO_GBIN, PACKAGEPIN, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, bottomBank
P9, PIO, not used, , , , , , bottomBank
P10, PIO, not used, , , , , , bottomBank
P11, SPI_SI, not used, , , , , , bottomBank
P12, SPI_SCK, not used, , , , , , bottomBank
P13, SPI_SS_B, not used, , , , , , bottomBank
P14, PIO, altreset, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
Total Number of Used Pins, 23
